"Reference","Value","Datasheet","Footprint","Qty","DNP","Mfg","PN"
"C1,C4,C5,C7,C8,C9,C10,C32","0.1uF","~","Capacitor_SMD:C_0402_1005Metric","8","","Samsung Electro-Mechanics","CL05B104KA5NNNC"
"C2","DNP","","Capacitor_SMD:C_0603_1608Metric","1","","",""
"J1","SYZYGY-TXR-4","","gsd-footprints:SYZYGY-TXR-POD","1",""," Samtec Inc.","QTH-020-01-F-D-DP-A-K"
"J3","PMOD I/O","~","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","1","","DEALON","DW254W-22-12-85"
"J4","USB_C_Receptacle","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","1","","Amphenol ICC","12401610E4#2A"
"J5","PH_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","DEALON","DZ254R-11-02-63"
"J6","5V AUX","","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","1","","DEALON","DZ254R-11-02-63"
"R1,R9","33R","","Resistor_SMD:R_Array_Convex_4x0402","2","","Yageo"," YC124-JR-0733RL "
"R2,R3,R4","2k2","~","Resistor_SMD:R_0402_1005Metric","3","","Yageo","RC0402FR-072K2L"
"R5,R6","5k1","~","Resistor_SMD:R_0402_1005Metric","2","DNP","Yageo","RC0402FR-075K1L"
"R7","10k","~","Capacitor_SMD:C_0402_1005Metric","1","","Yageo","RC0402FR-0710KL"
"R8","4.7k","~","Capacitor_SMD:C_0402_1005Metric","1","","Yageo","RC0402FR-074K7L"
"R16","100R","~","Resistor_SMD:R_0402_1005Metric","1","","Yageo","AC0402FR-07100RL"
"U2","FUSB302BMPX","http://www.onsemi.com/pub/Collateral/FUSB302B-D.PDF","Package_DFN_QFN:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm","1",""," onsemi","FUSB302BMPX"
"U3","CH32V003F4U6","http://www.wch-ic.com/downloads/CH32V003DS0_PDF.html","Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias","1","","WCH(Jiangsu Qin Heng)","CH32V003F4U6"
"X1","SG3225","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG5032VAN","Oscillator:Oscillator_SMD_Silicon_Labs_LGA-6_2.5x3.2mm_P1.25mm","1","","EPSON","SG3225VEN 125.000000M-CJGA3"
